Id,Name,Email,Password,Role
1,Vishal,vishal@test.com,vishal123,Admin
2,Rohit,rohit@test.com,rohit123,Admin
3,Preeti,preeti@test.com,preeti123,Faculty
4,Anita,anita@test.com,anita123,Faculty
5,Asif,asif@test.com,asif123,Faculty
6,George,george@test.com,george123,Faculty
7,Rahul,rahul@test.com,rahul123,Student
8,Deepika,deepika@test.com,deepika123,Student
9,Varun,varun@test.com,varun123,Student
10,Salman,salman@test.com,salman123,Student
11,Payal,payal@test.com,payal123,Student
12,Arvind,arvind@test.com,arvind123,Student
13,Manish,manish@test.com,manish123,Student
14,Nupur,nupur@test.com,nupur123,Student
15,Neha,neha@test.com,neha123,Student
16,Harjot,harjot@test.com,harjot123,Student
17,Pradip,pradip@test.com,pradip123,Student
18,Nirmal,nirmal@test.com,nirmal123,Student
